Wed, 24 Jan 2018 23:00:06 INFO 
=====Config====
model_name = Conv3d  
is_training = True      
max_epoch = 200
gpu_num = 1
lr = 1.5
num_classes = 2
batch_size = 4
image_shape = (61, 73, 61, 2)
plot_batch = 25
dropout_keep_prob = 0.8
train_data_path = tfdata/cnn_tfdata/epilepsy_cnn_train.tfrecords
train_data_length = 240
test_data_path = tfdata/cnn_tfdata/epilepsy_cnn_test.tfrecords
test_data_length = 60
logger_path = logs/Conv3d_2018-01-24 23:00:05.log
save_model_path = saved_models/Conv3d_2018-01-24 23:00:05/
=====Config====

Wed, 24 Jan 2018 23:07:40 INFO [Train] Epoch:56, TP:178, TN:62, FP:0, FN:0, Loss:0.000045, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:07:40 INFO [Test] Epoch:56, TP:38, TN:8, FP:11, FN:3, Loss:1.563281, Accuracy:0.766667, F1:0.844444
Wed, 24 Jan 2018 23:07:47 INFO [Train] Epoch:57, TP:178, TN:62, FP:0, FN:0, Loss:0.006798, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:07:47 INFO [Test] Epoch:57, TP:39, TN:2, FP:17, FN:2, Loss:2.744189, Accuracy:0.683333, F1:0.804124
Wed, 24 Jan 2018 23:07:54 INFO [Train] Epoch:58, TP:178, TN:62, FP:0, FN:0, Loss:0.000043, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:07:55 INFO [Test] Epoch:58, TP:38, TN:11, FP:8, FN:3, Loss:1.206961, Accuracy:0.816667, F1:0.873563
Wed, 24 Jan 2018 23:08:02 INFO [Train] Epoch:59, TP:178, TN:61, FP:1, FN:0, Loss:0.004776, Accuracy:0.995833, F1:0.997199
Wed, 24 Jan 2018 23:08:02 INFO [Test] Epoch:59, TP:39, TN:5, FP:14, FN:2, Loss:2.823642, Accuracy:0.733333, F1:0.829787
Wed, 24 Jan 2018 23:08:09 INFO [Train] Epoch:60, TP:178, TN:62, FP:0, FN:0, Loss:0.001841, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:08:10 INFO [Test] Epoch:60, TP:39, TN:5, FP:14, FN:2, Loss:2.754508, Accuracy:0.733333, F1:0.829787
Wed, 24 Jan 2018 23:08:16 INFO [Train] Epoch:61, TP:178, TN:62, FP:0, FN:0, Loss:0.000003, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:08:17 INFO [Test] Epoch:61, TP:39, TN:7, FP:12, FN:2, Loss:1.836378, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 23:08:24 INFO [Train] Epoch:62, TP:178, TN:62, FP:0, FN:0, Loss:0.000123, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:08:25 INFO [Test] Epoch:62, TP:39, TN:14, FP:5, FN:2, Loss:1.014727, Accuracy:0.883333, F1:0.917647
Wed, 24 Jan 2018 23:08:32 INFO [Train] Epoch:63, TP:178, TN:62, FP:0, FN:0, Loss:0.000003, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:08:32 INFO [Test] Epoch:63, TP:39, TN:10, FP:9, FN:2, Loss:1.389404, Accuracy:0.816667, F1:0.876404
Wed, 24 Jan 2018 23:08:39 INFO [Train] Epoch:64, TP:178, TN:62, FP:0, FN:0, Loss:0.000006, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:08:39 INFO [Test] Epoch:64, TP:38, TN:11, FP:8, FN:3, Loss:1.305204, Accuracy:0.816667, F1:0.873563
Wed, 24 Jan 2018 23:08:46 INFO [Train] Epoch:65, TP:178, TN:62, FP:0, FN:0, Loss:0.000014, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:08:47 INFO [Test] Epoch:65, TP:39, TN:11, FP:8, FN:2, Loss:1.300622, Accuracy:0.833333, F1:0.886364
Wed, 24 Jan 2018 23:08:54 INFO [Train] Epoch:66, TP:178, TN:62, FP:0, FN:0, Loss:0.000007, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:08:54 INFO [Test] Epoch:66, TP:39, TN:12, FP:7, FN:2, Loss:1.127484, Accuracy:0.850000, F1:0.896552
Wed, 24 Jan 2018 23:09:01 INFO [Train] Epoch:67, TP:178, TN:62, FP:0, FN:0, Loss:0.000001, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:09:02 INFO [Test] Epoch:67, TP:39, TN:8, FP:11, FN:2, Loss:1.550890, Accuracy:0.783333, F1:0.857143
Wed, 24 Jan 2018 23:09:09 INFO [Train] Epoch:68, TP:178, TN:62, FP:0, FN:0, Loss:0.000002, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:09:09 INFO [Test] Epoch:68, TP:39, TN:7, FP:12, FN:2, Loss:1.651097, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 23:09:16 INFO [Train] Epoch:69, TP:178, TN:62, FP:0, FN:0, Loss:0.000042, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:09:17 INFO [Test] Epoch:69, TP:39, TN:7, FP:12, FN:2, Loss:1.587800, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 23:09:24 INFO [Train] Epoch:70, TP:178, TN:62, FP:0, FN:0, Loss:0.000002, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:09:24 INFO [Test] Epoch:70, TP:39, TN:10, FP:9, FN:2, Loss:1.279157, Accuracy:0.816667, F1:0.876404
Wed, 24 Jan 2018 23:09:31 INFO [Train] Epoch:71, TP:178, TN:62, FP:0, FN:0, Loss:0.000001, Accuracy:1.000000, F1:1.000000
