Wed, 24 Jan 2018 21:02:13 INFO 
=====Config====
model_name = Shadow_Conv3d  
is_training = True      
max_epoch = 200
gpu_num = 1
lr = 0.5
num_classes = 2
batch_size = 4
image_shape = (61, 73, 61, 2)
plot_batch = 25
dropout_keep_prob = 0.8
train_data_path = tfdata/cnn_tfdata/epilepsy_cnn_train.tfrecords
train_data_length = 240
test_data_path = tfdata/cnn_tfdata/epilepsy_cnn_test.tfrecords
test_data_length = 60
logger_path = logs/Shadow_Conv3d_2018-01-24 21:02:12.log
save_model_path = saved_models/Shadow_Conv3d_2018-01-24 21:02:12/
=====Config====

Wed, 24 Jan 2018 21:06:15 INFO [Train] Epoch:39, TP:178, TN:62, FP:0, FN:0, Loss:0.000401, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:06:15 INFO [Test] Epoch:39, TP:39, TN:7, FP:12, FN:2, Loss:0.928947, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 21:06:20 INFO [Train] Epoch:40, TP:178, TN:62, FP:0, FN:0, Loss:0.000329, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:06:20 INFO [Test] Epoch:40, TP:39, TN:8, FP:11, FN:2, Loss:0.826835, Accuracy:0.783333, F1:0.857143
Wed, 24 Jan 2018 21:06:25 INFO [Train] Epoch:41, TP:178, TN:62, FP:0, FN:0, Loss:0.001858, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:06:25 INFO [Test] Epoch:41, TP:39, TN:11, FP:8, FN:2, Loss:0.592690, Accuracy:0.833333, F1:0.886364
Wed, 24 Jan 2018 21:06:30 INFO [Train] Epoch:42, TP:178, TN:62, FP:0, FN:0, Loss:0.000302, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:06:30 INFO [Test] Epoch:42, TP:39, TN:6, FP:13, FN:2, Loss:1.114413, Accuracy:0.750000, F1:0.838710
Wed, 24 Jan 2018 21:06:35 INFO [Train] Epoch:43, TP:178, TN:62, FP:0, FN:0, Loss:0.010453, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:06:36 INFO [Test] Epoch:43, TP:40, TN:1, FP:18, FN:1, Loss:2.078207, Accuracy:0.683333, F1:0.808081
Wed, 24 Jan 2018 21:06:40 INFO [Train] Epoch:44, TP:178, TN:62, FP:0, FN:0, Loss:0.002227, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:06:41 INFO [Test] Epoch:44, TP:39, TN:11, FP:8, FN:2, Loss:0.577373, Accuracy:0.833333, F1:0.886364
Wed, 24 Jan 2018 21:06:45 INFO [Train] Epoch:45, TP:178, TN:62, FP:0, FN:0, Loss:0.000250, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:06:46 INFO [Test] Epoch:45, TP:39, TN:7, FP:12, FN:2, Loss:1.064382, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 21:06:51 INFO [Train] Epoch:46, TP:178, TN:62, FP:0, FN:0, Loss:0.000210, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:06:51 INFO [Test] Epoch:46, TP:39, TN:6, FP:13, FN:2, Loss:1.136007, Accuracy:0.750000, F1:0.838710
Wed, 24 Jan 2018 21:06:56 INFO [Train] Epoch:47, TP:178, TN:62, FP:0, FN:0, Loss:0.000204, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:06:56 INFO [Test] Epoch:47, TP:39, TN:5, FP:14, FN:2, Loss:1.256093, Accuracy:0.733333, F1:0.829787
Wed, 24 Jan 2018 21:07:01 INFO [Train] Epoch:48, TP:178, TN:62, FP:0, FN:0, Loss:0.000397, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:07:01 INFO [Test] Epoch:48, TP:40, TN:5, FP:14, FN:1, Loss:1.398553, Accuracy:0.750000, F1:0.842105
Wed, 24 Jan 2018 21:07:06 INFO [Train] Epoch:49, TP:178, TN:62, FP:0, FN:0, Loss:0.000183, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:07:06 INFO [Test] Epoch:49, TP:40, TN:6, FP:13, FN:1, Loss:1.343160, Accuracy:0.766667, F1:0.851064
Wed, 24 Jan 2018 21:07:11 INFO [Train] Epoch:50, TP:178, TN:62, FP:0, FN:0, Loss:0.000149, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:07:11 INFO [Test] Epoch:50, TP:39, TN:7, FP:12, FN:2, Loss:0.944187, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 21:07:16 INFO [Train] Epoch:51, TP:178, TN:62, FP:0, FN:0, Loss:0.000121, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:07:16 INFO [Test] Epoch:51, TP:39, TN:7, FP:12, FN:2, Loss:1.064916, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 21:07:21 INFO [Train] Epoch:52, TP:178, TN:62, FP:0, FN:0, Loss:0.000313, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:07:22 INFO [Test] Epoch:52, TP:40, TN:4, FP:15, FN:1, Loss:1.563655, Accuracy:0.733333, F1:0.833333
Wed, 24 Jan 2018 21:07:26 INFO [Train] Epoch:53, TP:178, TN:62, FP:0, FN:0, Loss:0.000180, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:07:27 INFO [Test] Epoch:53, TP:40, TN:5, FP:14, FN:1, Loss:1.454608, Accuracy:0.750000, F1:0.842105
Wed, 24 Jan 2018 21:07:31 INFO [Train] Epoch:54, TP:178, TN:62, FP:0, FN:0, Loss:0.000072, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:07:32 INFO [Test] Epoch:54, TP:39, TN:7, FP:12, FN:2, Loss:1.133995, Accuracy:0.766667, F1:0.847826
