Tue, 23 Jan 2018 21:56:08 WARNING From /usr/local/lib/python3.6/dist-packages/tensorflow/contrib/training/python/training/training.py:412: get_or_create_global_step (from tensorflow.contrib.framework.python.ops.variables) is deprecated and will be removed in a future version.
Instructions for updating:
Please switch to tf.train.get_or_create_global_step
Tue, 23 Jan 2018 21:56:15 INFO 
=====Config====
model_name = Epilepsy_3D_CNN  
is_training = True      
max_epoch = 500
gpu_num = 1
lr = 1
num_classes = 2
batch_size = 4
image_shape = (61, 73, 61, 2)
plot_batch = 25
dropout_keep_prob = 0.5
train_data_path = tfdata/cnn_tfdata/epilepsy_cnn_train.tfrecords
train_data_length = 240
test_data_path = tfdata/cnn_tfdata/epilepsy_cnn_test.tfrecords
test_data_length = 60
logger_path = logs/Epilepsy_3D_CNN_2018-01-23 21:56:06.log
save_model_path = saved_models/epilepsy_3d_cnn_2018-01-23 21:56:06/
=====Config====

Tue, 23 Jan 2018 22:16:27 INFO [Test] Epoch:39, TP:39, TN:7, FP:12, FN:2, Loss:0.782708, Accuracy:0.766667, F1:0.847826
Tue, 23 Jan 2018 22:16:55 INFO [Train] Epoch:40, TP:178, TN:62, FP:0, FN:0, Loss:0.000375, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:16:59 INFO [Test] Epoch:40, TP:39, TN:13, FP:6, FN:2, Loss:0.410927, Accuracy:0.866667, F1:0.906977
Tue, 23 Jan 2018 22:17:27 INFO [Train] Epoch:41, TP:178, TN:62, FP:0, FN:0, Loss:0.000493, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:17:29 INFO [Test] Epoch:41, TP:39, TN:6, FP:13, FN:2, Loss:0.913035, Accuracy:0.750000, F1:0.838710
Tue, 23 Jan 2018 22:17:56 INFO [Train] Epoch:42, TP:178, TN:62, FP:0, FN:0, Loss:0.027676, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:17:58 INFO [Test] Epoch:42, TP:33, TN:18, FP:1, FN:8, Loss:0.429776, Accuracy:0.850000, F1:0.880000
Tue, 23 Jan 2018 22:18:26 INFO [Train] Epoch:43, TP:178, TN:62, FP:0, FN:0, Loss:0.000866, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:18:32 INFO [Test] Epoch:43, TP:39, TN:16, FP:3, FN:2, Loss:0.342197, Accuracy:0.916667, F1:0.939759
Tue, 23 Jan 2018 22:18:59 INFO [Train] Epoch:44, TP:178, TN:62, FP:0, FN:0, Loss:0.000625, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:19:01 INFO [Test] Epoch:44, TP:37, TN:16, FP:3, FN:4, Loss:0.359939, Accuracy:0.883333, F1:0.913580
Tue, 23 Jan 2018 22:19:28 INFO [Train] Epoch:45, TP:178, TN:62, FP:0, FN:0, Loss:0.000117, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:19:30 INFO [Test] Epoch:45, TP:39, TN:11, FP:8, FN:2, Loss:0.498159, Accuracy:0.833333, F1:0.886364
Tue, 23 Jan 2018 22:19:58 INFO [Train] Epoch:46, TP:178, TN:62, FP:0, FN:0, Loss:0.000062, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:20:00 INFO [Test] Epoch:46, TP:39, TN:14, FP:5, FN:2, Loss:0.449574, Accuracy:0.883333, F1:0.917647
Tue, 23 Jan 2018 22:20:27 INFO [Train] Epoch:47, TP:178, TN:62, FP:0, FN:0, Loss:0.000052, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:20:29 INFO [Test] Epoch:47, TP:39, TN:9, FP:10, FN:2, Loss:0.599704, Accuracy:0.800000, F1:0.866667
Tue, 23 Jan 2018 22:20:57 INFO [Train] Epoch:48, TP:178, TN:62, FP:0, FN:0, Loss:0.000073, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:20:59 INFO [Test] Epoch:48, TP:39, TN:6, FP:13, FN:2, Loss:0.887080, Accuracy:0.750000, F1:0.838710
Tue, 23 Jan 2018 22:21:26 INFO [Train] Epoch:49, TP:178, TN:62, FP:0, FN:0, Loss:0.000241, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:21:28 INFO [Test] Epoch:49, TP:35, TN:17, FP:2, FN:6, Loss:0.448387, Accuracy:0.866667, F1:0.897436
Tue, 23 Jan 2018 22:21:56 INFO [Train] Epoch:50, TP:178, TN:62, FP:0, FN:0, Loss:0.000788, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:21:57 INFO [Test] Epoch:50, TP:36, TN:17, FP:2, FN:5, Loss:0.444850, Accuracy:0.883333, F1:0.911392
Tue, 23 Jan 2018 22:22:25 INFO [Train] Epoch:51, TP:178, TN:62, FP:0, FN:0, Loss:0.000173, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:22:27 INFO [Test] Epoch:51, TP:38, TN:16, FP:3, FN:3, Loss:0.411656, Accuracy:0.900000, F1:0.926829
Tue, 23 Jan 2018 22:22:54 INFO [Train] Epoch:52, TP:178, TN:61, FP:1, FN:0, Loss:0.006204, Accuracy:0.995833, F1:0.997199
Tue, 23 Jan 2018 22:22:56 INFO [Test] Epoch:52, TP:40, TN:2, FP:17, FN:1, Loss:2.861449, Accuracy:0.700000, F1:0.816327
Tue, 23 Jan 2018 22:23:24 INFO [Train] Epoch:53, TP:178, TN:62, FP:0, FN:0, Loss:0.000042, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:23:26 INFO [Test] Epoch:53, TP:39, TN:16, FP:3, FN:2, Loss:0.427590, Accuracy:0.916667, F1:0.939759
Tue, 23 Jan 2018 22:23:53 INFO [Train] Epoch:54, TP:178, TN:62, FP:0, FN:0, Loss:0.000016, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:23:55 INFO [Test] Epoch:54, TP:39, TN:16, FP:3, FN:2, Loss:0.479204, Accuracy:0.916667, F1:0.939759
Tue, 23 Jan 2018 22:24:23 INFO [Train] Epoch:55, TP:142, TN:62, FP:0, FN:36, Loss:0.437522, Accuracy:0.850000, F1:0.887500
Tue, 23 Jan 2018 22:24:25 INFO [Test] Epoch:55, TP:20, TN:19, FP:0, FN:21, Loss:1.684458, Accuracy:0.650000, F1:0.655738
Tue, 23 Jan 2018 22:24:52 INFO [Train] Epoch:56, TP:177, TN:62, FP:0, FN:1, Loss:0.016245, Accuracy:0.995833, F1:0.997183
Tue, 23 Jan 2018 22:24:54 INFO [Test] Epoch:56, TP:38, TN:12, FP:7, FN:3, Loss:0.549458, Accuracy:0.833333, F1:0.883721
Tue, 23 Jan 2018 22:25:21 INFO [Train] Epoch:57, TP:178, TN:62, FP:0, FN:0, Loss:0.001348, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:25:23 INFO [Test] Epoch:57, TP:37, TN:9, FP:10, FN:4, Loss:0.687264, Accuracy:0.766667, F1:0.840909
Tue, 23 Jan 2018 22:25:51 INFO [Train] Epoch:58, TP:178, TN:62, FP:0, FN:0, Loss:0.000479, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:25:53 INFO [Test] Epoch:58, TP:36, TN:17, FP:2, FN:5, Loss:0.443670, Accuracy:0.883333, F1:0.911392
Tue, 23 Jan 2018 22:26:20 INFO [Train] Epoch:59, TP:178, TN:62, FP:0, FN:0, Loss:0.000108, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:26:22 INFO [Test] Epoch:59, TP:37, TN:16, FP:3, FN:4, Loss:0.413292, Accuracy:0.883333, F1:0.913580
Tue, 23 Jan 2018 22:26:50 INFO [Train] Epoch:60, TP:178, TN:62, FP:0, FN:0, Loss:0.000045, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:26:52 INFO [Test] Epoch:60, TP:38, TN:13, FP:6, FN:3, Loss:0.477135, Accuracy:0.850000, F1:0.894118
Tue, 23 Jan 2018 22:27:19 INFO [Train] Epoch:61, TP:178, TN:61, FP:1, FN:0, Loss:0.091599, Accuracy:0.995833, F1:0.997199
Tue, 23 Jan 2018 22:27:21 INFO [Test] Epoch:61, TP:40, TN:3, FP:16, FN:1, Loss:1.912748, Accuracy:0.716667, F1:0.824742
Tue, 23 Jan 2018 22:27:48 INFO [Train] Epoch:62, TP:178, TN:61, FP:1, FN:0, Loss:0.009655, Accuracy:0.995833, F1:0.997199
Tue, 23 Jan 2018 22:27:50 INFO [Test] Epoch:62, TP:35, TN:17, FP:2, FN:6, Loss:0.465012, Accuracy:0.866667, F1:0.897436
Tue, 23 Jan 2018 22:28:18 INFO [Train] Epoch:63, TP:124, TN:62, FP:0, FN:54, Loss:0.374488, Accuracy:0.775000, F1:0.821192
Tue, 23 Jan 2018 22:28:20 INFO [Test] Epoch:63, TP:19, TN:19, FP:0, FN:22, Loss:1.654192, Accuracy:0.633333, F1:0.633333
Tue, 23 Jan 2018 22:28:47 INFO [Train] Epoch:64, TP:178, TN:62, FP:0, FN:0, Loss:0.000018, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:28:49 INFO [Test] Epoch:64, TP:36, TN:15, FP:4, FN:5, Loss:0.490558, Accuracy:0.850000, F1:0.888889
